step,wall_time,defend_reward_mean,defend_reward_std,attack_reward_mean,attack_reward_std,defend_kl_mean,attack_kl_mean,defend_loss_approx,attack_loss_approx,defend_grad_norm,attack_grad_norm,lr
450,1774887471.56,-8.560456275939941,7.23298978805542,8.534873962402344,7.201492786407471,0.18613600730895996,0.1571190357208252,0.018613601103425026,0.01571190357208252,0.52734375,0.51953125,3.346844800613229e-05
460,1774887767.9,-8.83437442779541,8.043696403503418,8.47509765625,7.917409896850586,0.20024073123931885,0.16715797781944275,0.020024074241518974,0.016715798527002335,0.5234375,0.578125,3.264238262407764e-05
470,1774888063.79,-8.642302513122559,9.510261535644531,8.30866527557373,9.38882064819336,0.1413036584854126,0.2069651186466217,0.014130366034805775,0.02069651149213314,0.482421875,0.54296875,3.180700617601436e-05
480,1774888359.71,-4.74934196472168,6.934494495391846,4.7345991134643555,6.9412455558776855,0.1847410351037979,0.19557829201221466,0.01847410388290882,0.019557829946279526,0.55859375,0.60546875,3.0963336439464526e-05
490,1774888653.61,-6.579848289489746,6.193512916564941,6.392963409423828,5.985485553741455,0.18577559292316437,0.1704394519329071,0.018577558919787407,0.0170439463108778,0.59375,0.62890625,3.0112401296044757e-05
500,1774888949.59,-8.967569351196289,3.355982542037964,9.102777481079102,3.2456281185150146,0.17170938849449158,0.1966562718153,0.017170939594507217,0.01966562680900097,0.478515625,0.494140625,2.9255237479150816e-05
510,1774889245.15,-4.688384532928467,5.799953460693359,4.4029436111450195,5.543152332305908,0.15161918103694916,0.19512483477592468,0.015161918476223946,0.019512483850121498,0.54296875,0.64453125,2.8392889310857612e-05
520,1774889540.14,-4.579084396362305,4.685452461242676,4.647856712341309,4.550177097320557,0.21196351945400238,0.2394702136516571,0.021196352317929268,0.02394702099263668,0.5,0.50390625,2.7526407429573657e-05
530,1774889832.94,5.479108810424805,17.980640411376953,-5.290621280670166,17.821044921875,0.17711253464221954,0.18140199780464172,0.017711253836750984,0.018140200525522232,0.5078125,0.58203125,2.6656847510000012e-05
540,1774890124.43,-4.360344886779785,3.287869930267334,4.3725786209106445,3.2313315868377686,0.15401425957679749,0.19712039828300476,0.015401425771415234,0.019712040200829506,0.490234375,0.51953125,2.578526897695321e-05
550,1774890416.06,0.8803298473358154,5.386513710021973,-0.9950388669967651,5.061773300170898,0.17032437026500702,0.18700291216373444,0.017032437026500702,0.018700292333960533,0.5390625,0.55859375,2.4912733714619417e-05
560,1774890704.44,-6.028724193572998,6.481457710266113,5.906569480895996,6.469590663909912,0.17966270446777344,0.17387528717517853,0.017966270446777344,0.017387529835104942,0.5625,0.53125,2.4040304772812002e-05
570,1774890991.02,-6.5600128173828125,5.261859893798828,6.66185188293457,5.255471706390381,0.20071399211883545,0.18103493750095367,0.020071400329470634,0.018103493377566338,0.6015625,0.65234375,2.3169045071809215e-05
580,1774891278.54,-7.925124168395996,7.510410308837891,7.724503040313721,7.337738037109375,0.19019398093223572,0.19041240215301514,0.01901939883828163,0.019041240215301514,0.498046875,0.57421875,2.230001610734943e-05
590,1774891569.23,-6.831869125366211,8.69044017791748,6.894046783447266,8.6983003616333,0.168462336063385,0.19364146888256073,0.01684623397886753,0.019364146515727043,0.5234375,0.52734375,2.1434276657362213e-05
600,1774891862.1,-3.296226978302002,19.14516830444336,3.3816375732421875,19.095949172973633,0.16671501100063324,0.1716148853302002,0.016671501100063324,0.01716148853302002,0.49609375,0.48046875,2.057288149201042e-05
610,1774892154.34,-12.781451225280762,1.9768333435058594,12.591447830200195,2.070525884628296,0.14746080338954926,0.17905524373054504,0.01474608015269041,0.017905524000525475,0.50390625,0.5625,1.9716880088615285e-05
620,1774892446.92,-4.210679531097412,7.7064948081970215,3.9957780838012695,7.571242332458496,0.13103049993515015,0.206625297665596,0.01310305017977953,0.02066252939403057,0.515625,0.52734375,1.8867315353029935e-05
630,1774892742.99,-5.001798629760742,9.23348331451416,5.208652973175049,9.50269603729248,0.17725372314453125,0.1823701560497284,0.017725372686982155,0.01823701523244381,0.6015625,0.625,1.802522234901927e-05
640,1774893033.25,-8.691644668579102,5.811559677124023,8.417723655700684,6.049272060394287,0.17244358360767365,0.18352580070495605,0.017244359478354454,0.018352581188082695,0.59765625,0.6875,1.7191627037194186e-05
650,1774893320.14,-7.682645320892334,11.463276863098145,7.488956451416016,11.262764930725098,0.11809498071670532,0.17527812719345093,0.011809498071670532,0.017527813091874123,0.400390625,0.494140625,1.6367545025036636e-05
660,1774893609.46,-10.130477905273438,7.046050071716309,10.11569595336914,7.035199165344238,0.17403903603553772,0.20893651247024536,0.01740390434861183,0.020893651992082596,0.578125,0.498046875,1.5553980329538326e-05
670,1774893899.02,-7.329446792602539,1.9173022508621216,7.271125793457031,1.8839606046676636,0.19921210408210754,0.19061052799224854,0.019921211525797844,0.019061053171753883,0.546875,0.55859375,1.475192415396068e-05
